Line Type,Start MP,End MP,Start Coordinates,End Coordinates,Start Longitude,Start Latitude,End Longitude,End Latitude,Shape Length,Direction,Zone ,Plaza,Start Link,End Link
Dashed,258.22,259.074,"40.131045, -111.647083","40.143386, -111.646567",40.131045,-111.647083,40.143386,-111.646567,0.854,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51684,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51855
Double,259.074,260.077,"40.143386, -111.646567","40.157931, -111.646480",40.143386,-111.646567,40.157931,-111.64648,1.003,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/51855,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52056
Dashed,260.077,260.566,"40.157931, -111.646480","40.165016, -111.646436",40.157931,-111.64648,40.165016,-111.646436,0.489,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52056,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52154
Double,260.566,261.953,"40.165016, -111.646436","40.185137, -111.646301",40.165016,-111.646436,40.185137,-111.646301,1.387,NB,135,130,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52154,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52432
Dashed,261.953,262.507,"40.185137, -111.646301","40.193086, -111.647318",40.185137,-111.646301,40.193086,-111.647318,0.554,NB,130,140,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52432,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52543
Double,262.507,263.655,"40.193086, -111.647318","40.207381, -111.658324",40.193086,-111.647318,40.207381,-111.658324,1.148,NB,130,140,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52543,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52773
Dashed,263.655,264.239,"40.207381, -111.658324","40.214594, -111.664111",40.207381,-111.658324,40.214594,-111.664111,0.584,NB,130,145,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52773,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52890
Double,264.239,265.577,"40.214594, -111.664111","40.229494, -111.680204",40.214594,-111.664111,40.229494,-111.680204,1.338,NB,130,145,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/52890,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53158
Dashed,265.577,266.205,"40.229494, -111.680204","40.236773, -111.687364",40.229494,-111.680204,40.236773,-111.687364,0.628,NB,130,150,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53158,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53284
Double,266.205,267.593,"40.236773, -111.687364","40.254331, -111.698032",40.236773,-111.687364,40.254331,-111.698032,1.388,NB,130,150,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53284,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53562
Dashed,267.593,268.152,"40.254331, -111.698032","40.260446, -111.704962",40.254331,-111.698032,40.260446,-111.704962,0.559,NB,130,155,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53562,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53674
Double,268.152,269.225,"40.260446, -111.704962","40.273108, -111.716724",40.260446,-111.704962,40.273108,-111.716724,1.073,NB,130,155,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53674,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53889
Dashed,269.225,269.769,"40.273108, -111.716724","40.279718, -111.722334",40.273108,-111.716724,40.279718,-111.722334,0.544,NB,130,160,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53889,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53998
Double,269.769,270.757,"40.279718, -111.722334","40.293540, -111.725385",40.279718,-111.722334,40.29354,-111.725385,0.988,NB,130,160,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/53998,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54196
Dashed,270.757,271.326,"40.293540, -111.725385","40.301786, -111.725521",40.29354,-111.725385,40.301786,-111.725521,0.569,NB,135,165,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54196,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54310
Double,271.326,271.73,"40.301786, -111.725521","40.307644, -111.725614",40.301786,-111.725521,40.307644,-111.725614,0.404,NB,135,165,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54310,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54391
Dashed,271.73,272.299,"40.307644, -111.725614","40.315889, -111.725746",40.307644,-111.725614,40.315889,-111.725746,0.569,NB,135,170,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54391,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54505
Double,272.299,272.853,"40.315889, -111.725746","40.323576, -111.728129",40.315889,-111.725746,40.323576,-111.728129,0.554,NB,135,170,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54505,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54616
Dashed,272.853,273.427,"40.323576, -111.728129","40.329213, -111.736106",40.323576,-111.728129,40.329213,-111.736106,0.574,NB,135,175,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54616,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54731
Double,273.427,275.394,"40.329213, -111.736106","40.347539, -111.764679",40.329213,-111.736106,40.347539,-111.764679,1.967,NB,135,175,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/54731,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55125
Dashed,275.394,275.963,"40.347539, -111.764679","40.352835, -111.772938",40.347539,-111.764679,40.352835,-111.772938,0.569,NB,135,180,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55125,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55239
Double,275.963,276.552,"40.352835, -111.772938","40.358322, -111.781495",40.352835,-111.772938,40.358322,-111.781495,0.589,NB,135,180,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55239,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55357
Dashed,276.552,277.071,"40.358322, -111.781495","40.363156, -111.789044",40.358322,-111.781495,40.363156,-111.789044,0.519,NB,135,185,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55357,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55461
Double,277.071,278.713,"40.363156, -111.789044","40.375431, -111.815241",40.363156,-111.789044,40.375431,-111.815241,1.642,NB,135,185,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55461,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55790
Dashed,278.713,280.435,"40.375431, -111.815241","40.393410, -111.836367",40.375431,-111.815241,40.39341,-111.836367,1.722,NB,135,190,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/55790,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56135
Double,280.435,282.556,"40.393410, -111.836367","40.413035, -111.867295",40.39341,-111.836367,40.413035,-111.867295,2.121,NB,140,195,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56135,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56560
Dashed,282.556,283.254,"40.413035, -111.867295","40.419893, -111.876974",40.413035,-111.867295,40.419893,-111.876974,0.698,NB,140,201,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56560,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56700
Double,283.254,286.498,"40.419893, -111.876974","40.456243, -111.913893",40.419893,-111.876974,40.456243,-111.913893,3.244,NB,140,201,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/56700,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57350
Dashed,286.498,287.064,"40.456243, -111.913893","40.464316, -111.912906",40.456243,-111.913893,40.464316,-111.912906,0.566,NB,140,210,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57350,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57463
Double,287.064,288.353,"40.464316, -111.912906","40.480819, -111.901449",40.464316,-111.912906,40.480819,-111.901449,1.289,NB,140,210,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57463,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57720
Dashed,288.353,288.899,"40.480819, -111.901449","40.487182, -111.895281",40.480819,-111.901449,40.487182,-111.895281,0.546,NB,145,212,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57720,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57829
Double,288.899,289.917,"40.487182, -111.895281","40.500948, -111.890903",40.487182,-111.895281,40.500948,-111.890903,1.018,NB,145,212,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/57829,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58032
Dashed,289.917,290.418,"40.500948, -111.890903","40.508218, -111.890911",40.500948,-111.890903,40.508218,-111.890911,0.501,NB,145,215,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58032,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58132
Double,290.418,291.471,"40.508218, -111.890911","40.523474, -111.890840",40.508218,-111.890911,40.523474,-111.89084,1.053,NB,145,215,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58132,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58342
Dashed,291.471,292.043,"40.523474, -111.890840","40.531723, -111.891508",40.523474,-111.89084,40.531723,-111.891508,0.572,NB,145,220,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58342,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58456
Double,292.043,292.599,"40.531723, -111.891508","40.539659, -111.893372",40.531723,-111.891508,40.539659,-111.893372,0.556,NB,145,220,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58456,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58567
Dashed,292.599,293.296,"40.539659, -111.893372","40.549604, -111.895730",40.539659,-111.893372,40.549604,-111.89573,0.697,NB,145,225,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58567,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58706
Double,293.296,293.762,"40.549604, -111.895730","40.556245, -111.897327",40.549604,-111.89573,40.556245,-111.897327,0.466,NB,145,225,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58706,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58799
Dashed,293.762,294.219,"40.556245, -111.897327","40.562773, -111.898769",40.556245,-111.897327,40.562773,-111.898769,0.457,NB,145,230,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58799,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58890
Double,294.219,298.139,"40.562773, -111.898769","40.618960, -111.904454",40.562773,-111.898769,40.61896,-111.904454,3.92,NB,145,230,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/58890,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/59672
Dashed,298.139,298.711,"40.618960, -111.904454","40.627080, -111.902681",40.61896,-111.904454,40.62708,-111.902681,0.572,NB,150,240,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/59672,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/59786
Double,298.711,300.457,"40.627080, -111.902681","40.651961, -111.901771",40.62708,-111.902681,40.651961,-111.901771,1.746,NB,150,240,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/59786,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60134
Dashed,300.457,301.018,"40.651961, -111.901771","40.660082, -111.901095",40.651961,-111.901771,40.660082,-111.901095,0.561,NB,150,245,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60134,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60246
Double,301.018,301.725,"40.660082, -111.901095","40.670322, -111.901179",40.660082,-111.901095,40.670322,-111.901179,0.707,NB,150,245,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60246,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60387
Dashed,301.725,302.281,"40.670322, -111.901179","40.678365, -111.901661",40.670322,-111.901179,40.678365,-111.901661,0.556,NB,150,250,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60387,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60498
Double,302.281,303.588,"40.678365, -111.901661","40.697121, -111.901527",40.678365,-111.901661,40.697121,-111.901527,1.307,NB,150,250,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60498,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60759
Dashed,303.588,304.144,"40.697121, -111.901527","40.705018, -111.903465",40.697121,-111.901527,40.705018,-111.903465,0.556,NB,150,255,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60759,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60870
Double,304.144,306.439,"40.705018, -111.903465","40.738238, -111.904242",40.705018,-111.903465,40.738238,-111.904242,2.295,NB,150,255,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/60870,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61328
Dashed,306.439,307.01,"40.738238, -111.904242","40.746307, -111.905155",40.738238,-111.904242,40.746307,-111.905155,0.571,NB,150,260,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61328,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61442
Double,307.01,308.332,"40.746307, -111.905155","40.763598, -111.913718",40.746307,-111.905155,40.763598,-111.913718,1.322,NB,150,260,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61442,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61706
Dashed,308.332,308.668,"40.763598, -111.913718","40.768208, -111.911699",40.763598,-111.913718,40.768208,-111.911699,0.336,NB,150,260,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61706,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61773
Double,308.668,309.409,"40.768208, -111.911699","40.778786, -111.910273",40.768208,-111.911699,40.778786,-111.910273,0.741,NB,150,260,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61773,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61921
Dashed,309.409,309.935,"40.778786, -111.910273","40.786062, -111.912573",40.778786,-111.910273,40.786062,-111.912573,0.526,NB,150,265,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/61921,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62026
Double,309.935,313.126,"40.786062, -111.912573","40.828829, -111.915698",40.786062,-111.912573,40.828829,-111.915698,3.191,NB,150,265,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62026,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62663
Dashed,313.126,313.642,"40.828829, -111.915698","40.836304, -111.915336",40.828829,-111.915698,40.836304,-111.915336,0.516,NB,155,300,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62663,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62766
Double,313.642,315.345,"40.836304, -111.915336","40.858688, -111.904346",40.836304,-111.915336,40.858688,-111.904346,1.703,NB,155,300,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/62766,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63106
Dashed,315.345,315.846,"40.858688, -111.904346","40.864827, -111.899266",40.858688,-111.904346,40.864827,-111.899266,0.501,NB,155,305,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63106,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63206
Double,315.846,316.963,"40.864827, -111.899266","40.880744, -111.896490",40.864827,-111.899266,40.880744,-111.89649,1.117,NB,155,305,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63206,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63429
Dashed,316.963,317.579,"40.880744, -111.896490","40.889666, -111.896283",40.880744,-111.89649,40.889666,-111.896283,0.616,NB,155,310,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63429,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63552
Double,317.579,319.698,"40.889666, -111.896283","40.919645, -111.890811",40.889666,-111.896283,40.919645,-111.890811,2.119,NB,155,310,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63552,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63975
Dashed,319.698,320.269,"40.919645, -111.890811","40.927908, -111.891162",40.919645,-111.890811,40.927908,-111.891162,0.571,NB,160,315,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/63975,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64089
Double,320.269,322.833,"40.927908, -111.891162","40.965074, -111.890934",40.927908,-111.891162,40.965074,-111.890934,2.564,NB,160,315,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64089,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64601
Dashed,322.833,323.424,"40.965074, -111.890934","40.973190, -111.894014",40.965074,-111.890934,40.97319,-111.894014,0.591,NB,160,270,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64601,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64719
Double,323.424,326.184,"40.973190, -111.894014","41.002698, -111.926759",40.97319,-111.894014,41.002698,-111.926759,2.76,NB,160,270,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/64719,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65270
Dashed,326.184,326.945,"41.002698, -111.926759","41.010686, -111.936753",41.002698,-111.926759,41.010686,-111.936753,0.761,NB,160,275,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65270,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65422
Double,326.945,328.628,"41.010686, -111.936753","41.033444, -111.947456",41.010686,-111.936753,41.033444,-111.947456,1.683,NB,160,275,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65422,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65758
Dashed,328.628,329.274,"41.033444, -111.947456","41.041555, -111.952468",41.033444,-111.947456,41.041555,-111.952468,0.646,NB,160,280,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65758,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65887
Double,329.274,330.131,"41.041555, -111.952468","41.052257, -111.960482",41.041555,-111.952468,41.052257,-111.960482,0.857,NB,165,335,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/65887,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66058
Dashed,330.131,330.712,"41.052257, -111.960482","41.060155, -111.963054",41.052257,-111.960482,41.060155,-111.963054,0.581,NB,165,335,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66058,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66174
Double,330.712,331.673,"41.060155, -111.963054","41.071303, -111.974044",41.060155,-111.963054,41.071303,-111.974044,0.961,NB,165,335,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66174,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66366
Dashed,331.673,332.239,"41.071303, -111.974044","41.078021, -111.980261",41.071303,-111.974044,41.078021,-111.980261,0.566,NB,165,340,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66366,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66479
Double,332.239,332.966,"41.078021, -111.980261","41.086655, -111.988229",41.078021,-111.980261,41.086655,-111.988229,0.727,NB,165,340,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66479,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66624
Dashed,332.966,333.537,"41.086655, -111.988229","41.093435, -111.994487",41.086655,-111.988229,41.093435,-111.994487,0.571,NB,165,345,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66624,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66738
Double,333.537,334.078,"41.093435, -111.994487","41.099862, -112.000421",41.093435,-111.994487,41.099862,-112.000421,0.541,NB,165,350,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66738,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66846
Dashed,334.078,334.659,"41.099862, -112.000421","41.106759, -112.006797",41.099862,-112.000421,41.106759,-112.006797,0.581,NB,165,350,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66846,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66962
Double,334.659,335.931,"41.106759, -112.006797","41.121659, -112.021063",41.106759,-112.006797,41.121659,-112.021063,1.272,NB,165,350,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/66962,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/67216
Dashed,335.931,336.497,"41.121659, -112.021063","41.128917, -112.025090",41.121659,-112.021063,41.128917,-112.02509,0.566,NB,165,355,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/67216,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/67329
Double,336.497,338.466,"41.128917, -112.025090","41.157384, -112.024041",41.128917,-112.02509,41.157384,-112.024041,1.969,NB,165,355,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/67329,https://staging.pathweb.pathwayservices.com/ut/sections/4517/locations/67722
Dashed,339.641,339.566,"41.175655, -112.019155","41.174568, -112.019302",41.175655,-112.019155,41.174568,-112.019302,0.075,SB,235,430,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12254,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12269
