Line Type,Start MP,End MP,Start Coordinates,End Coordinates,Start Longitude,Start Latitude,End Longitude,End Latitude,Shape Length,Direction,Zone ,Plaza,Start Link,End Link
Double,339.566,338.914,"41.174568, -112.019302","41.165370, -112.021887",41.174568,-112.019302,41.16537,-112.021887,0.652,SB,235,430,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12269,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12399
Dashed,338.914,338.338,"41.165370, -112.021887","41.157258, -112.024450",41.16537,-112.021887,41.157258,-112.02445,0.576,SB,235,435,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12399,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12514
Double,338.338,336.124,"41.157258, -112.024450","41.125280, -112.025051",41.157258,-112.02445,41.12528,-112.025051,2.214,SB,235,435,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12514,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12956
Dashed,336.124,335.553,"41.125280, -112.025051","41.118844, -112.018330",41.12528,-112.025051,41.118844,-112.01833,0.571,SB,235,440,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/12956,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13070
Double,335.553,334.411,"41.118844, -112.018330","41.105240, -112.005841",41.118844,-112.01833,41.10524,-112.005841,1.142,SB,235,440,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13070,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13298
Dashed,334.411,333.853,"41.105240, -112.005841","41.098597, -111.999717",41.10524,-112.005841,41.098597,-111.999717,0.558,SB,235,445,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13298,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13410
Double,333.853,333.261,"41.098597, -111.999717","41.091563, -111.993220",41.098597,-111.999717,41.091563,-111.99322,0.592,SB,235,450,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13410,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13528
Dashed,333.261,332.695,"41.091563, -111.993220","41.084833, -111.987007",41.091563,-111.99322,41.084833,-111.987007,0.566,SB,235,450,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13528,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13641
Double,332.695,332.028,"41.084833, -111.987007","41.076907, -111.979694",41.084833,-111.987007,41.076907,-111.979694,0.667,SB,235,450,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13641,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13774
Dashed,332.028,331.461,"41.076907, -111.979694","41.070162, -111.973494",41.076907,-111.979694,41.070162,-111.973494,0.567,SB,235,455,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13774,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13887
Double,331.461,330.534,"41.070162, -111.973494","41.059473, -111.962780",41.070162,-111.973494,41.059473,-111.96278,0.927,SB,235,455,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/13887,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14072
Dashed,330.534,329.957,"41.059473, -111.962780","41.051485, -111.960531",41.059473,-111.96278,41.051485,-111.960531,0.577,SB,240,500,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14072,http://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14187
Double,329.957,329.145,"41.051485, -111.960531","41.041355, -111.952816",41.051485,-111.960531,41.041355,-111.952816,0.812,SB,240,500,http://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14187,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14349
Dashed,329.145,328.509,"41.041355, -111.952816","41.033401, -111.947884",41.041355,-111.952816,41.033401,-111.947884,0.636,SB,240,505,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14349,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14476
Double,328.509,326.819,"41.033401, -111.947884","41.010529, -111.937196",41.033401,-111.947884,41.010529,-111.937196,1.69,SB,240,505,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14476,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14813
Dashed,326.819,326.052,"41.010529, -111.937196","41.002477, -111.927146",41.010529,-111.937196,41.002477,-111.927146,0.767,SB,240,510,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14813,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14966
Double,326.052,322.934,"41.002477, -111.927146","40.968207, -111.891739",41.002477,-111.927146,40.968207,-111.891739,3.118,SB,240,510,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/14966,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/15588
Dashed,322.934,322.387,"40.968207, -111.891739","40.960308, -111.891425",40.968207,-111.891739,40.960308,-111.891425,0.547,SB,240,475,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/15588,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/15697
Double,322.387,319.55,"40.960308, -111.891425","40.919227, -111.891302",40.960308,-111.891425,40.919227,-111.891302,2.837,SB,240,475,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/15697,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16263
Dashed,319.55,318.457,"40.919227, -111.891302","40.903401, -111.891786",40.919227,-111.891302,40.903401,-111.891786,1.093,SB,245,485,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16263,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16481
Double,318.457,317.353,"40.903401, -111.891786","40.888039, -111.896763",40.903401,-111.891786,40.888039,-111.896763,1.104,SB,245,485,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16481,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16701
Dashed,317.353,316.847,"40.888039, -111.896763","40.880704, -111.896934",40.888039,-111.896763,40.880704,-111.896934,0.506,SB,245,490,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16701,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16802
Double,316.847,315.739,"40.880704, -111.896934","40.864945, -111.899686",40.880704,-111.896934,40.864945,-111.899686,1.108,SB,245,490,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/16802,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17023
Dashed,315.739,315.218,"40.864945, -111.899686","40.858569, -111.904982",40.864945,-111.899686,40.858569,-111.904982,0.521,SB,245,495,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17023,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17127
Double,315.218,313.328,"40.858569, -111.904982","40.833406, -111.915799",40.858569,-111.904982,40.833406,-111.915799,1.89,SB,245,495,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17127,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17504
Dashed,313.328,312.897,"40.833406, -111.915799","40.827166, -111.916201",40.833406,-111.915799,40.827166,-111.916201,0.431,SB,245,515,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17504,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17590
Double,312.897,311.85,"40.827166, -111.916201","40.813659, -111.923011",40.827166,-111.916201,40.813659,-111.923011,1.047,SB,245,515,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17590,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17799
Dashed,311.85,311.315,"40.813659, -111.923011","40.806176, -111.923259",40.813659,-111.923011,40.806176,-111.923259,0.535,SB,245,520,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17799,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17906
Double,311.315,309.724,"40.806176, -111.923259","40.784768, -111.912200",40.806176,-111.923259,40.784768,-111.9122,1.591,SB,245,520,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/17906,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18224
Dashed,309.724,309.014,"40.784768, -111.912200","40.774686, -111.910764",40.784768,-111.9122,40.774686,-111.910764,0.71,SB,250,525,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18224,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18366
Double,309.014,306.713,"40.774686, -111.910764","40.743868, -111.904441",40.774686,-111.910764,40.743868,-111.904441,2.301,SB,250,525,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18366,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18826
Dashed,306.713,306.458,"40.743868, -111.904441","40.740191, -111.904573",40.743868,-111.904441,40.740191,-111.904573,0.255,SB,250,530,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18826,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18877
Double,306.458,303.864,"40.740191, -111.904573","40.702652, -111.903495",40.740191,-111.904573,40.702652,-111.903495,2.594,SB,250,530,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/18877,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19396
Dashed,303.864,303.164,"40.702652, -111.903495","40.692759, -111.903295",40.702652,-111.903495,40.692759,-111.903295,0.7,SB,250,535,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19396,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19536
Double,303.164,302.143,"40.692759, -111.903295","40.678024, -111.902197",40.692759,-111.903295,40.678024,-111.902197,1.021,SB,250,535,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19536,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19740
Dashed,302.143,301.583,"40.678024, -111.902197","40.669915, -111.901700",40.678024,-111.902197,40.669915,-111.9017,0.56,SB,250,540,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19740,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19852
Double,301.583,300.773,"40.669915, -111.901700","40.658179, -111.901681",40.669915,-111.9017,40.658179,-111.901681,0.81,SB,250,540,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/19852,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20014
Dashed,300.773,300.108,"40.658179, -111.901681","40.648571, -111.902643",40.658179,-111.901681,40.648571,-111.902643,0.665,SB,250,545,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20014,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20147
Double,300.108,297.983,"40.648571, -111.902643","40.618376, -111.905161",40.648571,-111.902643,40.618376,-111.905161,2.125,SB,250,545,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20147,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20572
Dashed,297.983,297.392,"40.618376, -111.905161","40.609913, -111.906014",40.618376,-111.905161,40.609913,-111.906014,0.591,SB,255,550,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20572,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20690
Double,297.392,296.22,"40.609913, -111.906014","40.593103, -111.902710",40.609913,-111.906014,40.593103,-111.90271,1.172,SB,255,550,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/20690,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21075
Dashed,296.22,295.464,"40.593103, -111.902710","40.582411, -111.900394",40.593103,-111.90271,40.582411,-111.900394,0.756,SB,255,555,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21075,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21345
Double,295.464,294.112,"40.582411, -111.900394","40.562843, -111.899357",40.582411,-111.900394,40.562843,-111.899357,1.352,SB,255,555,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21345,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21345
Dashed,294.112,293.541,"40.562843, -111.899357","40.554678, -111.897553",40.562843,-111.899357,40.554678,-111.897553,0.571,SB,255,560,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21345,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21459
Double,293.541,293.025,"40.554678, -111.897553","40.547320, -111.895796",40.554678,-111.897553,40.54732,-111.895796,0.516,SB,255,560,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21459,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21562
Dashed,293.025,292.454,"40.547320, -111.895796","40.539184, -111.893869",40.54732,-111.895796,40.539184,-111.893869,0.571,SB,255,565,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21562,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21676
Double,292.454,291.823,"40.539184, -111.893869","40.530169, -111.891787",40.539184,-111.893869,40.530169,-111.891787,0.631,SB,255,565,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21676,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21802
Dashed,291.823,291.262,"40.530169, -111.891787","40.522058, -111.891433",40.530169,-111.891787,40.522058,-111.891433,0.561,SB,255,570,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21802,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21914
Double,291.262,290.185,"40.522058, -111.891433","40.506447, -111.891417",40.522058,-111.891433,40.506447,-111.891417,1.077,SB,255,570,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/21914,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22129
Dashed,290.185,289.659,"40.506447, -111.891417","40.498823, -111.891479",40.506447,-111.891417,40.498823,-111.891479,0.526,SB,255,575,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22129,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22234
Double,289.659,288.683,"40.498823, -111.891479","40.486048, -111.897197",40.498823,-111.891479,40.486048,-111.897197,0.976,SB,255,575,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22234,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22429
Dashed,288.683,288.132,"40.486048, -111.897197","40.479524, -111.903173",40.486048,-111.897197,40.479524,-111.903173,0.551,SB,260,580,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22429,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22539
Double,288.132,286.759,"40.479524, -111.903173","40.461690, -111.914469",40.479524,-111.903173,40.46169,-111.914469,1.373,SB,260,580,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22539,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22813
Dashed,286.759,286.208,"40.461690, -111.914469","40.453746, -111.914043",40.46169,-111.914469,40.453746,-111.914043,0.551,SB,260,585,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22813,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22923
Double,286.208,283.974,"40.453746, -111.914043","40.428643, -111.888518",40.453746,-111.914043,40.428643,-111.888518,2.234,SB,260,585,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/22923,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/23371
Dashed,283.974,283.129,"40.428643, -111.888518","40.419730, -111.877553",40.428643,-111.888518,40.41973,-111.877553,0.845,SB,260,590,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/23371,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/23540
Double,283.129,279.883,"40.419730, -111.877553","40.387677, -111.833685",40.41973,-111.877553,40.387677,-111.833685,3.246,SB,260,590,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/23540,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24190
Dashed,279.883,278.37,"40.387677, -111.833685","40.374050, -111.812109",40.387677,-111.833685,40.37405,-111.812109,1.513,SB,265,605,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24190,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24493
Double,278.37,276.936,"40.374050, -111.812109","40.362903, -111.789588",40.37405,-111.812109,40.362903,-111.789588,1.434,SB,265,605,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24493,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24780
Dashed,276.936,276.427,"40.362903, -111.789588","40.358160, -111.782181",40.362903,-111.789588,40.35816,-111.782181,0.509,SB,265,610,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24780,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24882
Double,276.427,275.797,"40.358160, -111.782181","40.352296, -111.773039",40.35816,-111.782181,40.352296,-111.773039,0.63,SB,265,610,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/24882,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25008
Dashed,275.797,275.238,"40.352296, -111.773039","40.347090, -111.764917",40.352296,-111.773039,40.34709,-111.764917,0.559,SB,265,615,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25008,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25120
Double,275.238,273.195,"40.347090, -111.764917","40.328071, -111.735281",40.34709,-111.764917,40.328071,-111.735281,2.043,SB,265,615,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25120,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25529
Dashed,273.195,272.631,"40.328071, -111.735281","40.322317, -111.727852",40.328071,-111.735281,40.322317,-111.727852,0.564,SB,265,620,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25529,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25642
Double,272.631,272.166,"40.322317, -111.727852","40.315780, -111.726353",40.322317,-111.727852,40.31578,-111.726353,0.465,SB,265,620,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25642,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25735
Dashed,272.166,271.602,"40.315780, -111.726353","40.307594, -111.726216",40.31578,-111.726353,40.307594,-111.726216,0.564,SB,265,625,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25735,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25848
Double,271.602,271.107,"40.307594, -111.726216","40.300421, -111.726101",40.307594,-111.726216,40.300421,-111.726101,0.495,SB,265,625,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25848,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25947
Dashed,271.107,270.628,"40.300421, -111.726101","40.293473, -111.725990",40.300421,-111.726101,40.293473,-111.72599,0.479,SB,265,630,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/25947,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26043
Double,270.628,269.844,"40.293473, -111.725990","40.282209, -111.724784",40.293473,-111.72599,40.282209,-111.724784,0.784,SB,270,635,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26043,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26200
Dashed,269.844,268.955,"40.282209, -111.724784","40.271309, -111.715818",40.282209,-111.724784,40.271309,-111.715818,0.889,SB,270,635,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26200,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26378
Double,268.955,267.981,"40.271309, -111.715818","40.259889, -111.705069",40.271309,-111.715818,40.259889,-111.705069,0.974,SB,270,640,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26378,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26573
Dashed,267.981,267.412,"40.259889, -111.705069","40.253655, -111.698003",40.259889,-111.705069,40.253655,-111.698003,0.569,SB,270,640,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26573,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26687
Double,267.412,265.988,"40.253655, -111.698003","40.235655, -111.686910",40.253655,-111.698003,40.235655,-111.68691,1.424,SB,270,640,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26687,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26972
Dashed,265.988,265.418,"40.235655, -111.686910","40.229059, -111.680428",40.235655,-111.68691,40.229059,-111.680428,0.57,SB,270,645,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/26972,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27086
Double,265.418,263.575,"40.229059, -111.680428","40.207911, -111.659331",40.229059,-111.680428,40.207911,-111.659331,1.843,SB,270,645,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27086,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27455
Dashed,263.575,262.986,"40.207911, -111.659331","40.200682, -111.653391",40.207911,-111.659331,40.200682,-111.653391,0.589,SB,270,650,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27455,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27573
Double,262.986,262.302,"40.200682, -111.653391","40.191939, -111.647424",40.200682,-111.653391,40.191939,-111.647424,0.684,SB,270,650,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27573,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27710
Dashed,262.302,261.753,"40.191939, -111.647424","40.184022, -111.646824",40.191939,-111.647424,40.184022,-111.646824,0.549,SB,270,655,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27710,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27820
Double,261.753,260.419,"40.184022, -111.646824","40.164679, -111.646946",40.184022,-111.646824,40.164679,-111.646946,1.334,SB,270,655,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/27820,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/28087
Dashed,260.419,259.964,"40.164679, -111.646946","40.158094, -111.646987",40.164679,-111.646946,40.158094,-111.646987,0.455,SB,270,660,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/28087,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/28178
Double,259.964,259.34,"40.158094, -111.646987","40.149058, -111.647042",40.158094,-111.646987,40.149058,-111.647042,0.624,SB,270,660,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/28178,https://staging.pathweb.pathwayservices.com/ut/sections/2741/locations/28303